dataset,arch,variant,noise,seed,accuracy,macro_f1,top3,violation_rate,forbidden,violation_rate_net,forbidden_net,dl_similarity,suffix_accuracy,exact_match,suffix_dfa_violation,suffix_dfa_violation_net,suffix_precedence_violation,suffix_net_fitness,n_suffix,prefix_lengths,best_epoch,corrupted,train_compliance,secs_per_epoch,secs_train,secs_petrinet,secs_dfa,secs_automaton,secs_markings,secs_artifacts,gpu,knowledge_key,net_fingerprint,artifacts_cached,split,knowledge,vocab_scope,train_frac,val_frac,test_frac,protocol,source_dir
Sepsis_Case,lstm,checker_net_state,0.1,0,0.658915,0.471757,0.930233,0.000912,0.038881,0.003648,0.034057,0.573435,0.425719,0.071066,0.0,0.002936,0.002538,0.98852,394,6|7|8,10,1082,0.657143,1.17,17.5,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.1,0,0.668947,0.48532,0.929321,0.001368,0.04928,0.004104,0.044881,0.560208,0.39724,0.07868,0.000294,0.019671,0.007614,0.981816,394,6|7|8,11,1082,0.657143,1.41,22.53,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.1,0,0.663019,0.482136,0.93844,0.001368,0.046236,0.003648,0.041434,0.571777,0.426307,0.071066,0.000294,0.008221,0.002538,0.985677,394,6|7|8,11,1082,0.657143,1.36,21.73,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.1,0,0.671227,0.487934,0.935705,0.000912,0.043606,0.004104,0.04025,0.56474,0.374633,0.093909,0.000294,0.052848,0.002538,0.96686,394,6|7|8,13,1082,0.657143,3.05,54.87,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.1,0,0.662563,0.48355,0.929321,0.000912,0.013552,0.0,0.001168,0.532174,0.352319,0.101523,0.0,0.0,0.0,0.971315,394,6|7|8,13,1082,0.657143,1.22,22.05,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.1,0,0.662107,0.475657,0.934793,0.000456,0.025626,0.003648,0.020056,0.567122,0.414563,0.073604,0.0,0.000294,0.005076,0.986868,394,6|7|8,12,1082,0.657143,3.05,51.77,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,baseline,0.2,0,0.659827,0.476883,0.916553,0.00684,0.085917,0.00912,0.072681,0.53993,0.374927,0.073604,0.001468,0.035819,0.005076,0.975293,394,6|7|8,13,2164,0.439456,1.16,20.93,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker,0.2,0,0.654355,0.478742,0.923393,0.003192,0.062332,0.005472,0.056205,0.555347,0.401938,0.076142,0.000294,0.043159,0.007614,0.973608,394,6|7|8,13,2164,0.439456,1.15,20.69,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net,0.2,0,0.661651,0.477723,0.923393,0.004104,0.068436,0.005016,0.051247,0.567222,0.421609,0.081218,0.000294,0.021139,0.005076,0.980092,394,6|7|8,13,2164,0.439456,1.17,20.99,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net_state,0.2,0,0.663475,0.476488,0.930689,0.005928,0.071153,0.007752,0.057991,0.5429,0.401351,0.073604,0.001468,0.032002,0.002538,0.976564,394,6|7|8,10,2164,0.439456,1.2,17.94,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.2,0,0.661195,0.486217,0.926585,0.00456,0.081696,0.00684,0.068154,0.564832,0.40047,0.121827,0.002055,0.054903,0.007614,0.96782,394,6|7|8,12,2164,0.439456,1.43,24.27,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.2,0,0.662563,0.475145,0.932057,0.002736,0.079459,0.003648,0.067222,0.550486,0.387258,0.088832,0.000881,0.035526,0.005076,0.97159,394,6|7|8,9,2164,0.439456,1.32,18.46,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.2,0,0.659827,0.466999,0.921113,0.002736,0.085981,0.003192,0.071524,0.580161,0.43394,0.073604,0.000587,0.000587,0.005076,0.98938,394,6|7|8,10,2164,0.439456,3.03,45.41,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.2,0,0.654811,0.487311,0.927953,0.001368,0.021805,0.0,0.000826,0.511023,0.362302,0.126904,0.03993,0.0,0.007614,0.963393,394,6|7|8,17,2164,0.439456,1.21,26.7,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.2,0,0.668035,0.476711,0.922025,0.001824,0.056757,0.003648,0.04116,0.573972,0.437463,0.086294,0.000294,0.000294,0.005076,0.986934,394,6|7|8,13,2164,0.439456,3.03,54.62,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,baseline,0.3,0,0.658915,0.472694,0.918833,0.00456,0.127683,0.00684,0.100237,0.570103,0.449207,0.091371,0.000587,0.021726,0.005076,0.977423,394,6|7|8,12,3245,0.295238,1.36,23.13,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker,0.3,0,0.644323,0.475011,0.918377,0.002736,0.094098,0.005472,0.078157,0.537177,0.368467,0.083756,0.000294,0.076042,0.005076,0.96123,394,6|7|8,13,3245,0.295238,1.15,20.74,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net,0.3,0,0.656635,0.463765,0.912449,0.001824,0.105457,0.002736,0.075758,0.578873,0.430711,0.073604,0.000294,0.001762,0.005076,0.988074,394,6|7|8,10,3245,0.295238,1.14,17.1,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net_state,0.3,0,0.658003,0.461761,0.911081,0.003648,0.113852,0.009576,0.087826,0.579019,0.432179,0.073604,0.000587,0.002936,0.005076,0.987761,394,6|7|8,10,3245,0.295238,1.15,17.27,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.3,0,0.652531,0.470759,0.906065,0.004104,0.12999,0.005016,0.104685,0.554921,0.397534,0.076142,0.000294,0.012038,0.005076,0.982449,394,6|7|8,12,3245,0.295238,1.41,24.03,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.3,0,0.665299,0.465474,0.913361,0.001824,0.121883,0.005016,0.096298,0.576023,0.432766,0.073604,0.000294,0.001762,0.005076,0.988362,394,6|7|8,9,3245,0.295238,1.33,18.64,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.3,0,0.656179,0.454671,0.912905,0.001824,0.119969,0.00456,0.097916,0.561725,0.41926,0.060914,0.000294,0.001762,0.005076,0.988218,394,6|7|8,7,3245,0.295238,3.04,36.49,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.3,0,0.641587,0.45604,0.908801,0.001368,0.040995,0.0,0.001751,0.563836,0.406342,0.06599,0.000294,0.0,0.002538,0.989533,394,6|7|8,10,3245,0.295238,1.24,18.66,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.3,0,0.666211,0.46803,0.915185,0.00228,0.090999,0.001368,0.060582,0.585844,0.460951,0.073604,0.000587,0.000294,0.005076,0.988751,394,6|7|8,12,3245,0.295238,3.03,51.5,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,baseline,0.4,0,0.629731,0.454987,0.891473,0.007296,0.168939,0.007752,0.136041,0.54655,0.382267,0.081218,0.002055,0.063711,0.007614,0.964763,394,6|7|8,13,4327,0.176871,1.16,20.8,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker,0.4,0,0.632923,0.458258,0.907433,0.003648,0.11815,0.005928,0.102028,0.539491,0.373459,0.073604,0.000587,0.049031,0.005076,0.971163,394,6|7|8,13,4327,0.176871,1.19,21.47,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net,0.4,0,0.627451,0.457339,0.899225,0.003192,0.137831,0.003192,0.098042,0.547127,0.389607,0.081218,0.000881,0.057252,0.005076,0.964308,394,6|7|8,13,4327,0.176871,1.13,20.4,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,checker_net_state,0.4,0,0.622891,0.453159,0.897401,0.00456,0.146867,0.005472,0.114079,0.534079,0.379037,0.07868,0.001174,0.070464,0.005076,0.962238,394,6|7|8,13,4327,0.176871,1.18,21.23,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,marking,0.4,0,0.640675,0.451555,0.879161,0.008664,0.161209,0.010488,0.130263,0.563147,0.414269,0.071066,0.002055,0.005285,0.005076,0.985321,394,6|7|8,13,4327,0.176871,1.43,25.72,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gnn,0.4,0,0.645691,0.447561,0.908801,0.00912,0.155061,0.009576,0.129244,0.563743,0.425426,0.058376,0.00323,0.00323,0.005076,0.986516,394,6|7|8,9,4327,0.176871,1.34,18.75,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,seq,0.4,0,0.638395,0.441223,0.899681,0.005928,0.165151,0.00684,0.134417,0.538778,0.401351,0.048223,0.001468,0.001762,0.005076,0.987384,394,6|7|8,10,4327,0.176871,3.03,45.44,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,lll,0.4,0,0.633835,0.445036,0.892385,0.000456,0.047827,0.0,0.000973,0.520271,0.378156,0.088832,0.000294,0.0,0.002538,0.968666,394,6|7|8,15,4327,0.176871,1.22,24.34,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,gll,0.4,0,0.642499,0.457343,0.897401,0.007752,0.118788,0.005016,0.080384,0.562647,0.408397,0.076142,0.00323,0.002642,0.007614,0.987264,394,6|7|8,17,4327,0.176871,3.1,68.13,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
Sepsis_Case,lstm,baseline,0.5,0,0.604195,0.434908,0.870953,0.010488,0.210009,0.014136,0.170458,0.504134,0.36054,0.055838,0.00323,0.070464,0.007614,0.956594,394,6|7|8,9,5409,0.137415,1.25,17.48,0.02,0.17,0.04,2.41,3.6,NVIDIA A100-SXM4-80GB,389addb5e7aa9c29,49714600535b,0,temporal,test,all,0.7,0.15,0.15,B,noise_curve_b
